alpha,seed,cluster_count,cluster_lifetime_mean,modularity_Q,final_variance,convergence_time
0.6000000000000001,6,8,31.0,0.0508151111111111,0.44792620832368957,124
0.6000000000000001,7,7,45.0,0.0011448888888888906,0.4875153427422517,90
0.6000000000000001,8,9,17.428571428571427,0.0745368888888889,0.47011781749925396,122
0.6000000000000001,9,6,26.4,0.0167208888888889,0.413598151321318,132
0.6000000000000001,10,8,11.714285714285714,0.043781333333333346,0.43539750317365294,82
0.6000000000000001,11,9,11.833333333333334,0.021078222222222213,0.4427732822124088,71
0.7000000000000001,0,7,24.0,0.02388355555555556,0.4248456359992412,120
0.7000000000000001,1,9,26.0,-0.01844888888888889,0.46955701038919595,104
0.7000000000000001,2,5,31.666666666666668,0.005325333333333328,0.4275217821611247,95
0.7000000000000001,3,6,30.75,0.02009244444444444,0.45879148685185994,123
