final_cluster_count,cluster_lifetime_mean,final_variance,final_modularity_Q,convergence_time,alpha,seed,network_type,n_agents
9,30.0,0.4205097263172678,-0.007455555555555559,60,0.59,0,small_world,100
10,21.333333333333332,0.5050213696569265,0.006516666666666668,64,0.59,1,small_world,100
11,14.4,0.4338526273117409,0.07501666666666666,72,0.59,2,small_world,100
12,15.5,0.41505033355235954,0.06390000000000001,62,0.59,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,0.59,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,0.59,5,small_world,100
10,29.5,0.5000980572208791,-0.0020722222222222275,59,0.59,6,small_world,100
10,21.0,0.49698843961292327,0.0003222222222222168,63,0.59,7,small_world,100
8,32.5,0.4586028914230573,0.020083333333333335,65,0.59,8,small_world,100
10,31.0,0.4284770374798025,0.02028888888888889,62,0.59,9,small_world,100
10,60.0,0.42053876987245226,-0.005622222222222226,60,0.66,0,small_world,100
10,21.333333333333332,0.5050213696569265,0.006516666666666668,64,0.66,1,small_world,100
11,18.0,0.4333558847513875,0.06279444444444443,72,0.66,2,small_world,100
12,15.5,0.41508337529729494,0.06096666666666668,62,0.66,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,0.66,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,0.66,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,0.66,6,small_world,100
11,31.5,0.49710535204634027,-0.006800000000000005,63,0.66,7,small_world,100
8,32.5,0.4586028914230573,0.020083333333333335,65,0.66,8,small_world,100
10,31.0,0.4288072245068343,0.017772222222222224,62,0.66,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,0.73,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,0.73,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,0.73,2,small_world,100
12,15.5,0.41508337529729494,0.06096666666666668,62,0.73,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,0.73,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,0.73,5,small_world,100
9,59.0,0.500204318324269,-0.008077777777777784,59,0.73,6,small_world,100
12,20.333333333333332,0.4974708777759658,-0.002999999999999999,61,0.73,7,small_world,100
8,32.5,0.4590077051283768,0.02036111111111111,65,0.73,8,small_world,100
9,31.0,0.4288219771406595,0.013461111111111111,62,0.73,9,small_world,100
11,30.0,0.4205607376128188,-0.00981666666666667,60,0.8,0,small_world,100
10,21.333333333333332,0.5050429122886455,0.003183333333333334,64,0.8,1,small_world,100
12,24.0,0.4333982221667128,0.055722222222222215,72,0.8,2,small_world,100
12,20.666666666666668,0.4152799103120175,0.05238333333333335,62,0.8,3,small_world,100
12,16.5,0.3738039656307736,0.000522222222222221,66,0.8,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,0.8,5,small_world,100
