2026-01-20 22:24:34,838 | DEBUG   | method | Creating small_world network with 100 nodes, seed=8
2026-01-20 22:24:34,839 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:34,842 | DEBUG   | method |   t=0: clusters=7, variance=0.4622, max_change=0.094275
2026-01-20 22:24:35,204 | DEBUG   | method |   Converged at t=97
2026-01-20 22:24:35,204 | INFO    | method |   Result: clusters=7, lifetime=14.00
2026-01-20 22:24:35,204 | INFO    | method | Run 10/10: alpha=0.0, seed=9
2026-01-20 22:24:35,204 | INFO    | method | Running simulation: alpha=0.0, n=100, seed=9, network=small_world
2026-01-20 22:24:35,205 | DEBUG   | method | Initializing 100 agents with alpha=0.0, seed=9
2026-01-20 22:24:35,209 | DEBUG   | method | Agent opinions: mean=0.011, std=0.656
2026-01-20 22:24:35,210 | DEBUG   | method | Creating small_world network with 100 nodes, seed=9
2026-01-20 22:24:35,213 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:35,219 | DEBUG   | method |   t=0: clusters=8, variance=0.4307, max_change=0.085615
2026-01-20 22:24:35,691 | DEBUG   | method |   t=100: clusters=9, variance=0.4155, max_change=0.000168
2026-01-20 22:24:35,836 | DEBUG   | method |   Converged at t=116
2026-01-20 22:24:35,837 | INFO    | method |   Result: clusters=9, lifetime=7.31
2026-01-20 22:24:35,839 | INFO    | method | BASELINE experiment took 3.39 seconds (10 simulations)
2026-01-20 22:24:35,839 | INFO    | method | 
========================================
2026-01-20 22:24:35,839 | INFO    | method | RUNNING METHOD (alpha>0, with asymmetry)
2026-01-20 22:24:35,839 | INFO    | method | ========================================
2026-01-20 22:24:35,840 | INFO    | method | Running experiment: 20 alphas x 10 seeds
2026-01-20 22:24:35,840 | INFO    | method | Run 1/200: alpha=0.1, seed=0
2026-01-20 22:24:35,840 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=0, network=small_world
2026-01-20 22:24:35,840 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=0
2026-01-20 22:24:35,848 | DEBUG   | method | Agent opinions: mean=0.168, std=0.648
2026-01-20 22:24:35,848 | DEBUG   | method | Creating small_world network with 100 nodes, seed=0
2026-01-20 22:24:35,850 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:35,866 | DEBUG   | method |   t=0: clusters=10, variance=0.4205, max_change=0.088809
2026-01-20 22:24:36,134 | DEBUG   | method |   Converged at t=91
2026-01-20 22:24:36,135 | INFO    | method |   Result: clusters=10, lifetime=13.14
2026-01-20 22:24:36,135 | INFO    | method | Run 2/200: alpha=0.1, seed=1
2026-01-20 22:24:36,135 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=1, network=small_world
2026-01-20 22:24:36,136 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=1
2026-01-20 22:24:36,142 | DEBUG   | method | Agent opinions: mean=0.069, std=0.712
2026-01-20 22:24:36,148 | DEBUG   | method | Creating small_world network with 100 nodes, seed=1
2026-01-20 22:24:36,158 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:36,161 | DEBUG   | method |   t=0: clusters=7, variance=0.5075, max_change=0.099033
2026-01-20 22:24:36,517 | DEBUG   | method |   Converged at t=83
2026-01-20 22:24:36,517 | INFO    | method |   Result: clusters=9, lifetime=16.80
2026-01-20 22:24:36,518 | INFO    | method | Run 3/200: alpha=0.1, seed=2
2026-01-20 22:24:36,518 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=2, network=small_world
2026-01-20 22:24:36,518 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=2
2026-01-20 22:24:36,522 | DEBUG   | method | Agent opinions: mean=0.006, std=0.657
2026-01-20 22:24:36,523 | DEBUG   | method | Creating small_world network with 100 nodes, seed=2
2026-01-20 22:24:36,523 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:36,526 | DEBUG   | method |   t=0: clusters=10, variance=0.4315, max_change=0.096021
2026-01-20 22:24:36,848 | DEBUG   | method |   t=100: clusters=11, variance=0.4213, max_change=0.001579
2026-01-20 22:24:37,479 | DEBUG   | method |   Converged at t=173
2026-01-20 22:24:37,480 | INFO    | method |   Result: clusters=11, lifetime=17.40
2026-01-20 22:24:37,481 | INFO    | method | Run 4/200: alpha=0.1, seed=3
2026-01-20 22:24:37,481 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=3, network=small_world
2026-01-20 22:24:37,482 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=3
2026-01-20 22:24:37,490 | DEBUG   | method | Agent opinions: mean=0.038, std=0.648
2026-01-20 22:24:37,492 | DEBUG   | method | Creating small_world network with 100 nodes, seed=3
2026-01-20 22:24:37,495 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:37,533 | DEBUG   | method |   t=0: clusters=9, variance=0.4198, max_change=0.086966
2026-01-20 22:24:38,074 | DEBUG   | method |   t=100: clusters=11, variance=0.4120, max_change=0.000019
2026-01-20 22:24:38,104 | DEBUG   | method |   Converged at t=105
